value	unit	type	sentence_id	doc_char_begin	doc_char_end	token_begin	token_end
35.0	guns	money	23352880	1247	1254	16	17
762.0	guns	money	82762032	429	437	30	31
9.0	guns	money	22989829	1520	1526	10	11
100.0	people	money	22989829	1531	1541	13	14
762.0	guns	money	82815280	429	437	30	31
7000.0	gun	money	98466608	2294	2303	2	3
20.0	guns	money	212930864	2530	2537	7	8
30.0	guns	money	37610067	683	690	8	9
70000.0	people	money	85765	2480	2493	3	4
5000.0	people	money	715269	1943	1955	3	4
17.0	people	money	200965	1681	1690	6	7
23.0	people	money	1432325	531	540	8	9
70000.0	people	money	1668101	5107	5120	42	43
41.0	people	money	1279493	1243	1252	30	31
300000.0	people	money	4873477	2374	2388	7	8
300.0	kilometers	money	256517	679	693	17	18
185.0	miles	money	256517	695	704	20	21
14.0	people	money	256517	611	620	4	5
13.0	people	money	732677	380	389	19	20
200.0	people	money	809733	4001	4011	12	13
1.7E9	US$	money	130821	3950	3964	10	12
1000000.0	$	money	771333	2669	2679	3	5
1000000.0	in	money	771333	2670	2682	4	6
300000.0	$	money	339717	408	416	24	25
300000.0	in	money	339717	409	419	25	26
21.11	$	money	1092613	2380	2386	7	8
21.11	in	money	1092613	2381	2389	8	9
1.55E10	$	money	158213	1035	1048	13	15
7.6E8	$	money	1347589	2849	2861	21	23
3.0E9	$	money	1347589	2888	2898	28	30
24.0	$	money	797701	2735	2738	8	9
147.27	$	money	797701	2780	2787	18	19
1.55E10	$	money	1429253	167	180	3	5
4.6E8	US$	money	1453573	930	944	28	30
1000.0	$	money	3333	184	190	6	7
40000.0	meters	money	1621509	597	610	9	10
130000.0	feet	money	1621509	612	624	12	13
31000.0	meters	money	1624581	2613	2626	14	15
101700.0	feet	money	1624581	2628	2640	17	18
1900.0	meters	money	890885	3569	3581	16	17
500.0	feet	money	424197	1391	1399	4	5
150.0	meters	money	424197	1401	1411	7	8
14.0	$	money	1163269	199	202	9	10
14.0	mil	money	1163269	200	206	10	11
350.0	miles	money	1644549	1885	1894	18	19
560.0	kilometers	money	1644549	1896	1910	21	22
75.0	miles	money	154629	565	573	25	26
120.0	kilometers	money	154629	575	589	28	29
18.0	feet	money	892165	4346	4353	16	17
210.0	miles	money	1404165	2308	2317	4	5
338.0	kilometers	money	1404165	2319	2333	7	8
10.0	feet	money	1190917	1693	1700	11	12
3.0	meters	money	1190917	1707	1715	16	17
22.0	pounds	money	239621	2223	2232	8	9
9.9	kilograms	money	239621	2234	2247	11	12
56.0	grams	money	342533	792	800	18	19
3200.0	tons	money	3916805	2277	2287	6	7
11.0	pounds	money	3660805	1632	1641	5	6
157.0	kilograms	money	3660805	1654	1667	10	11
346.0	pounds	money	3660805	1669	1679	13	14
20.0	pounds	money	7121157	1603	1612	3	4
9.0	kilograms	money	7121157	1614	1625	6	7
20.0	pounds	money	8505861	2989	2998	3	4
9.0	kilograms	money	8505861	3000	3011	6	7
20.0	pounds	money	5769221	1621	1630	3	4
9.0	kilograms	money	5769221	1632	1643	6	7
3200.0	tons	money	4601349	2350	2360	6	7
20.0	pounds	money	6330373	1118	1127	3	4
9.0	kilograms	money	6330373	1129	1140	6	7
39400.0	US$	money	9053957	1054	1063	31	32
20000.0	pounds	money	9053957	1039	1052	28	29
